Administered,Total Doses Administered Daily,Daily Count People Receiving Dose 1,TotalDosesAdministeredCumulative,PeopleReceiving1orMoreDosesCumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,DailyCountofPeopleFullyVaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,State,Date,NewDeaths,7-Day Moving Avg,Historic Deaths
565812483,419289,45231,565812483,256245809,47473,397874,48752,218409518,46520,United States,Apr  8 2022,888,518,0
565393194,436659,47856,565393194,256200578,51548,422589,48715,218360766,50111,United States,Apr  7 2022,518,475,0
564956535,473459,52215,564956535,256152722,54756,433339,53962,218312051,52042,United States,Apr  6 2022,942,502,0
564483076,468303,54317,564483076,256100507,55580,419550,53109,218258089,52101,United States,Apr  5 2022,668,534,-130
564014773,482506,62883,564014773,256046190,54162,379083,55211,218204980,49941,United States,Apr  4 2022,371,540,0
563532267,190906,26664,563532267,255983307,52147,333552,24313,218149769,47189,United States,Apr  3 2022,88,582,0
563341361,313994,43146,563341361,255956643,50877,315113,41580,218125456,45760,United States,Apr  2 2022,152,580,0
563027367,592299,73756,563027367,255913497,49476,287226,73886,218083876,43951,United States,Apr  1 2022,589,581,0
562435068,511903,70313,562435068,255839741,47408,233903,62236,218009990,40747,United States,Mar 31 2022,708,603,0
561923165,376942,57984,561923165,255769428,44588,186149,54372,217947754,37627,United States,Mar 30 2022,1168,628,0
561546223,185028,44389,561546223,255711444,43489,158267,37987,217893382,36059,United States,Mar 29 2022,706,637,0
561361195,163793,48776,561361195,255667055,43688,156452,35949,217855395,36500,United States,Mar 28 2022,665,666,0
561197402,61829,17777,561197402,255618279,43793,158434,14310,217819446,37263,United States,Mar 27 2022,73,678,0
561135573,118790,33340,561135573,255600502,44394,159958,28915,217805136,37658,United States,Mar 26 2022,159,686,0
561016783,219038,59280,561016783,255567162,45126,163012,51458,217776221,38600,United States,Mar 25 2022,747,690,0
560797745,177623,50573,560797745,255507882,45471,166462,40396,217724763,39724,United States,Mar 24 2022,882,717,0
560620122,181767,50290,560620122,255457309,45201,168043,43399,217684367,40563,United States,Mar 23 2022,1230,740,0
560438355,172323,45783,560438355,255407019,45561,170456,41070,217640968,41532,United States,Mar 22 2022,908,777,0
560266032,177667,49509,560266032,255361236,46423,173835,41294,217599898,42904,United States,Mar 21 2022,752,849,0
560088365,72500,21983,560088365,255311727,46573,175314,17072,217558604,44080,United States,Mar 20 2022,125,930,0
560015865,140168,38466,560015865,255289744,46499,175218,35508,217541532,44528,United States,Mar 19 2022,191,937,0
559875697,243187,61693,559875697,255251278,46510,174767,59329,217506024,45139,United States,Mar 18 2022,936,987,0
559632510,188686,48686,559632510,255189585,46807,175778,46268,217446695,46835,United States,Mar 17 2022,1041,1055,0
559443824,198660,52807,559443824,255140899,47568,178130,50185,217400427,48353,United States,Mar 16 2022,1486,1084,0
559245164,195978,51819,559245164,255088092,47916,179106,50675,217350242,49332,United States,Mar 15 2022,1415,1148,0
559049186,188022,50555,559049186,255036273,48389,180867,49523,217299567,50194,United States,Mar 14 2022,1321,1189,-3779
558861164,71826,21465,558861164,254985718,49242,183070,20208,217250044,50624,United States,Mar 13 2022,174,1214,0
