State/Territory,TotalCases,ConfirmedCases,ProbableCases,CasesinLast7Days,CaseRateper100000,TotalDeaths,ConfirmedDeaths,ProbableDeaths,DeathsinLast7Days,DeathRateper100000,7DayCasesRateper100000,7DayDeathRateper100000,TotalPositive,PositiveLast30Days,PositiveLast7Days,Testsper100K,TotalTests,Testsper100KLast7Days,TotalTestsLast7Days,Testsper100KLast30Days,TotalTestsLast30Days,NewCases,NewDeaths
Alabama,1297097,933272,363825,1259,26454,19379,14876,4503,0,395,25.7,0,10-14.9%,< 3%,< 3%,152329.356,7496938,667.17,32835,3058.05,150503,53,0
Alaska,240674,0,0,924,32899,1195,N/A,N/A,0,163,126.3,0,5-7.9%,5-7.9%,5-7.9%,565708.643,4136224,423.16,3094,1890.02,13819,0,0
American Samoa,5315,0,0,780,11215,11,N/A,N/A,4,23,1645.8,8.4,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,61,0
Arizona,2014020,1781316,232704,6840,27670,29681,25781,3900,413,407,94,5.7,10-14.9%,3-4.9%,3-4.9%,197057.8062,14624450,798.39,59252,3913.18,290413,0,0
Arkansas,833685,0,0,557,27626,11308,N/A,N/A,43,374,18.5,1.4,10-14.9%,< 3%,< 3%,154464.9404,4681094,485.89,14725,2537.35,76895,30,3
California,9115022,8513771,601251,19766,23069,88557,N/A,N/A,350,224,50,0.9,N/A,N/A,N/A,335282.7994,131994394,3300.45,1299322,15089.73,5940538,0,0
Colorado,1355882,1233384,122498,1692,23545,11984,10521,1463,10,208,29.4,0.2,8-9.9%,3-4.9%,3-4.9%,267817.7439,15554102,1264.02,73411,5809.53,337401,0,0
Connecticut,740894,663784,77110,3618,20781,10801,8847,1954,22,302,101.5,0.6,N/A,N/A,N/A,402083.297,14302127,2058.5,73221,8676.62,308628,0,0
Delaware,260291,236830,23461,364,26730,2871,2590,281,1,294,37.4,0.1,5-7.9%,3-4.9%,3-4.9%,365960.4848,3611331,1706.31,16838,7476.83,73782,0,0
District of Columbia,137603,0,0,717,19497,1332,N/A,N/A,0,188,101.6,0,3-4.9%,< 3%,3-4.9%,676046.4131,4818967,7928.55,56516,33387.3,237990,0,0
Florida,5867926,0,0,12701,27321,73583,N/A,N/A,21,342,59.1,0.1,10-14.9%,3-4.9%,5-7.9%,258587.0483,56199530,1169.61,254195,6451.69,1402166,1461,0
Georgia,2503082,1941256,561826,2823,23575,37332,31311,6021,275,351,26.6,2.6,10-14.9%,< 3%,< 3%,152339.9916,16315639,992.05,106249,4252.91,455487,0,0
Guam,47599,0,0,213,28250,352,N/A,N/A,2,208,126.4,1.2,10-14.9%,8-9.9%,5-7.9%,165541.105,279392,1840.32,3106,7614.87,12852,34,0
Hawaii,235797,0,0,1138,16654,1370,N/A,N/A,3,96,80.4,0.2,N/A,N/A,N/A,238346.3184,3353547,792.89,11156,4908.79,69067,0,0
Idaho,444637,348430,96207,427,24881,4895,3991,904,19,273,23.9,1.1,15-19.9%,< 3%,< 3%,173747.2994,3174212,800.15,14618,4065.05,74265,0,0
Illinois,3080436,3080436,0,10786,24309,37764,33465,4299,80,298,85.1,0.6,5-7.9%,< 3%,< 3%,351638.0815,44262549,3078.63,387524,14274.12,1796759,0,0
Indiana,1692700,0,0,1230,25143,23484,22553,931,53,348,18.3,0.8,10-14.9%,3-4.9%,3-4.9%,203747.9609,13763079,602.49,40698,3093.37,208956,0,0
Iowa,759721,0,0,673,24079,9454,N/A,N/A,9,299,21.3,0.3,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,0
Kansas,770977,579789,191188,702,26464,8501,N/A,N/A,104,291,24.1,3.6,10-14.9%,< 3%,3-4.9%,185619.2504,5408583,670.53,19538,3083.97,89861,0,0
Kentucky,1318950,900266,418684,3277,29522,15161,13171,1990,173,339,73.3,3.9,10-14.9%,< 3%,< 3%,201179.7418,9007322,1164.13,52121,5384.73,241088,0,0
Louisiana,1169338,0,0,801,25154,17177,14637,2540,39,369,17.2,0.8,8-9.9%,< 3%,< 3%,226034.278,10500011,1373.51,63804,5965.23,277104,0,0
